"response_id","question_key","raw_response","primary_code","primary_code_label","matching_codes","needs_review"
183,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
184,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
185,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
186,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
187,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
188,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
189,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
190,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
191,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
192,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
193,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
194,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
195,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
196,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
197,"why_apply_esc","Pra mlman pa ang mga dpat pag aralan",90,"other_substantive","90",TRUE
198,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
199,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
200,"why_apply_esc","I applied to the ESC program to help lessen our educational expenses and support my child’s studies",1,"cost_financial_assistance","1;3",TRUE
201,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
202,"why_apply_esc","Insufficient income.",7,"family_vulnerability","7",FALSE
203,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
204,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
205,"why_apply_esc","I applied to the ESC to provide my daughter with quality education, better learning opportunities, and a supportive environment that will help her succeed in high school and beyond.",1,"cost_financial_assistance","1;3",TRUE
206,"why_apply_esc","To help to lesser the tuition",1,"cost_financial_assistance","1",FALSE
207,"why_apply_esc","To avail the government grants and to lower the school fees .",1,"cost_financial_assistance","1;3",TRUE
208,"why_apply_esc","Lack of financial support",1,"cost_financial_assistance","1",FALSE
209,"why_apply_esc","to make the private school affordable",1,"cost_financial_assistance","1;3",TRUE
210,"why_apply_esc","To lessen our expenses.",1,"cost_financial_assistance","1",FALSE
211,"why_apply_esc","To  lessen the educational expenses for my daughter.",1,"cost_financial_assistance","1;3",TRUE
212,"why_apply_esc","To help lessen the tuition fee",1,"cost_financial_assistance","1",FALSE
213,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
214,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
215,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
216,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
217,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
218,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
219,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
220,"why_apply_esc","To minimize the bills in school",3,"school_quality_private_opportunity","3",FALSE
221,"why_apply_esc","Makatabang sa tuition sa bata",1,"cost_financial_assistance","1",FALSE
222,"why_apply_esc","I applied for an ESC because it is a big for parents in dealing with tuition fees",1,"cost_financial_assistance","1",FALSE
223,"why_apply_esc","Because it provides financial assistance and can help lessen the educational expenses of my family while allowing my child to continue study in a quality school.",1,"cost_financial_assistance","1;3;4",TRUE
224,"why_apply_esc","Less of payment",90,"other_substantive","90",TRUE
225,"why_apply_esc","Less of payment",90,"other_substantive","90",TRUE
226,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
227,"why_apply_esc","Less payments",90,"other_substantive","90",TRUE
228,"why_apply_esc","To help us financially",1,"cost_financial_assistance","1",FALSE
229,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
230,"why_apply_esc","To receive financial assistance that helps reduce tuition fees and other fees.",1,"cost_financial_assistance","1",FALSE
231,"why_apply_esc","No funds to pay all of the expenses of the school",1,"cost_financial_assistance","1;3",TRUE
232,"why_apply_esc","Less payments",90,"other_substantive","90",TRUE
233,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
234,"why_apply_esc","For my child education",3,"school_quality_private_opportunity","3",FALSE
235,"why_apply_esc","To minimize my expenses",1,"cost_financial_assistance","1",FALSE
236,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
237,"why_apply_esc","To be part of the scholars",90,"other_substantive","90",TRUE
238,"why_apply_esc","because I don't have enough money to enroll my son in private school",1,"cost_financial_assistance","1;3",TRUE
239,"why_apply_esc","To lesser payment",90,"other_substantive","90",TRUE
240,"why_apply_esc","Coz I don't have enough money to pay for tuition pay,,,coz my daughter is already n college",1,"cost_financial_assistance","1",FALSE
241,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
