,Region_Code,Division_Code,Municipality_Code,Full_Division_Code,Full_Municipality_Code,BEIS_School_ID,Implementing_Unit,Modified_COC,School_Type,Enroll_G7_M,Enroll_G7_F,Enroll_G8_M,Enroll_G8_F,Enroll_G9_M,Enroll_G9_F,Enroll_G10_M,Enroll_G10_F,Enroll_SNEd_NGJHS_M,Enroll_SNEd_NGJHS_F,Enroll_Total_JHS_M,Enroll_Total_JHS_F,Enroll_Total_JHS_All,Dropout_Rate_G7_M,Dropout_Rate_G7_F,Dropout_Rate_G8_M,Dropout_Rate_G8_F,Dropout_Rate_G9_M,Dropout_Rate_G9_F,Dropout_Rate_G10_M,Dropout_Rate_G10_F,Dropout_Rate_SNEd_NGJHS_M,Dropout_Rate_SNEd_NGJHS_F,Dropout_Rate_Total_JHS_M,Dropout_Rate_Total_JHS_F,Dropout_Rate_Total_JHS_All,JHS_Instructional_Rooms,JHS_Classroom_Ratio,JHS_Seats,JHS_Seat_Ratio,JHS_Toilet,JHS_Toilet_Ratio,JHS_Computer,JHS_Computer_Ratio,JHS_Teacher,JHS_Teacher_Ratio,Cancel_2016,Cancel_2017,Cancel_2018,Cancel_2019,Cancel_2020,Cancel_2021,Cancel_2022,Cancel_2023,Cancel_Total_20162023,Cancel_Average_20162023,Pilot_Cancel,Pilot_Ratio,Pilot_Shift
201,1,5,5,105,10505,502497,0,3,1,28,22,0,0,0,0,0,0,0,0,28,22,50,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,50,1,6,8.33,1,50,0,-999,1,0,6,6,2,2,11,11,138,5,1,0,0
202,1,5,14,105,10514,501027,0,3,1,13,10,13,18,17,9,10,11,0,0,53,48,101,0.3077,0,0,0,0.0588,0,0,0,0,0,0.0943,0,0.0495,-999,-999,-999,0,1,101,15,6.733333333,2,50.5,1,0,6,6,2,2,11,11,138,5,1,1,0
203,1,5,7,105,10507,502104,0,3,1,20,5,12,12,13,16,8,11,0,0,53,44,97,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,-999,0,-999,2,48.5,1,0,6,6,2,2,11,11,138,5,1,1,0
204,1,5,11,105,10511,502318,0,3,1,9,9,14,13,0,0,0,0,0,0,23,22,45,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4.5,70,1,10,4.5,0,-999,0,-999,1,0,6,6,2,2,11,11,138,5,1,0,0
205,1,5,12,105,10512,501026,0,3,1,11,8,12,14,18,9,14,12,0,0,55,43,98,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49,80,1,2,49,5,19.6,3,32.67,1,0,6,6,2,2,11,11,138,5,1,0,0
206,1,5,8,105,10508,501745,0,3,1,18,19,30,20,24,20,31,15,0,0,103,74,177,0.0556,0,0,0,0,0,0.0645,0,0,0,0.0291,0,0.0169,-999,-999,97,2,0,-999,15,11.8,2,88.5,1,0,6,6,2,2,11,11,138,5,1,1,0
207,1,5,15,105,10515,502100,0,3,1,2,9,6,3,7,6,0,0,0,0,15,18,33,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,-999,0,-999,1,33,1,0,6,6,2,2,11,11,138,5,1,0,0
208,1,5,15,105,10515,502498,0,3,1,6,6,0,0,0,0,0,0,0,0,6,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,-999,0,-999,0,-999,1,0,6,6,2,2,11,11,138,5,1,0,0
209,1,5,26,105,10526,502101,0,3,1,18,6,29,26,18,16,0,0,0,0,65,48,113,0,0,0.069,0,0.0556,0,0,0,0,0,0.0462,0,0.0265,1,113,30,4,2,56.5,15,7.533333333,5,22.6,1,0,6,6,2,2,11,11,138,5,1,0,0
210,1,5,24,105,10524,502099,0,3,1,14,10,9,15,17,14,0,0,0,0,40,39,79,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,-999,0,-999,1,79,1,0,6,6,2,2,11,11,138,5,1,1,0
