school_id,region_code,full_division_code,full_municipality_code,treatment_status,time_point,grade,level_group,reading_category,student_count,english_assessed,percent_of_english_assessed
305334,15,1514,151401,Control,BoSY,Grade 7,2-level,frustration,12,605,1.9834710743801653
305367,15,1512,151201,Control,BoSY,Grade 7,2-level,frustration,0,1192,0
305635,15,1514,151401,Control,BoSY,Grade 7,2-level,frustration,57,515,11.067961165048544
301218,4,408,40814,Control,BoSY,Grade 7,2-level,frustration,21,2259,0.9296148738379814
308501,4,415,41501,Control,BoSY,Grade 7,2-level,frustration,21,724,2.9005524861878453
500332,15,1506,150601,Control,BoSY,Grade 7,2-level,frustration,38,316,12.025316455696203
305471,15,1509,150901,Control,BoSY,Grade 7,2-level,frustration,26,1010,2.5742574257425743
305376,15,1501,150101,Treatment,BoSY,Grade 7,2-level,frustration,4,890,0.449438202247191
301432,4,417,41705,Control,BoSY,Grade 7,2-level,frustration,77,662,11.63141993957704
305459,15,1515,151502,Control,BoSY,Grade 7,2-level,frustration,26,960,2.7083333333333335
305313,15,1507,150708,Control,BoSY,Grade 7,2-level,frustration,116,653,17.76416539050536
301186,4,410,41001,Control,BoSY,Grade 7,2-level,frustration,25,2124,1.177024482109228
301184,4,410,41001,Control,BoSY,Grade 7,2-level,frustration,0,1318,0
305295,15,1507,150710,Control,BoSY,Grade 7,2-level,frustration,40,1345,2.973977695167286
301416,4,422,42201,Control,BoSY,Grade 7,2-level,frustration,0,207,0
305450,15,1505,150501,Treatment,BoSY,Grade 7,2-level,frustration,152,482,31.53526970954357
301403,4,416,41606,Control,BoSY,Grade 7,2-level,frustration,35,584,5.993150684931507
301451,4,417,41708,Control,BoSY,Grade 7,2-level,frustration,30,370,8.108108108108109
305338,15,1514,151401,Control,BoSY,Grade 7,2-level,frustration,85,856,9.929906542056075
301257,4,413,41312,Control,BoSY,Grade 7,2-level,frustration,87,2100,4.142857142857143
305416,15,1513,151301,Control,BoSY,Grade 7,2-level,frustration,72,1038,6.936416184971098
305337,15,1514,151401,Control,BoSY,Grade 7,2-level,frustration,463,2523,18.351169242964726
305353,15,1514,151401,Control,BoSY,Grade 7,2-level,frustration,35,394,8.883248730964468
301197,4,408,40812,Control,BoSY,Grade 7,2-level,frustration,6,442,1.3574660633484164
301236,4,413,41308,Treatment,BoSY,Grade 7,2-level,frustration,30,341,8.79765395894428
305444,15,1516,151601,Control,BoSY,Grade 7,2-level,frustration,89,463,19.22246220302376
320306,15,1503,150301,Control,BoSY,Grade 7,2-level,frustration,25,878,2.847380410022779
301489,4,414,41401,Control,BoSY,Grade 7,2-level,frustration,21,403,5.2109181141439205
301507,4,418,41801,Control,BoSY,Grade 7,2-level,frustration,8,130,6.153846153846154
301456,4,417,41710,Control,BoSY,Grade 7,2-level,frustration,76,619,12.277867528271406
301238,4,413,41303,Control,BoSY,Grade 7,2-level,frustration,56,621,9.017713365539452
305438,15,1516,151601,Control,BoSY,Grade 7,2-level,frustration,69,908,7.599118942731278
305324,15,1514,151401,Control,BoSY,Grade 7,2-level,frustration,37,270,13.703703703703704
305454,15,1510,151001,Control,BoSY,Grade 7,2-level,frustration,2,139,1.4388489208633093
308122,4,417,41708,Control,BoSY,Grade 7,2-level,frustration,91,236,38.559322033898304
301508,4,418,41801,Control,BoSY,Grade 7,2-level,frustration,66,311,21.221864951768488
305465,15,1515,151502,Control,BoSY,Grade 7,2-level,frustration,85,813,10.45510455104551
305428,15,1511,151101,Control,BoSY,Grade 7,2-level,frustration,3,412,0.7281553398058253
301175,4,408,40807,Control,BoSY,Grade 7,2-level,frustration,39,700,5.571428571428571
301437,4,417,41704,Control,BoSY,Grade 7,2-level,frustration,100,1034,9.671179883945841
320204,15,1511,151101,Control,BoSY,Grade 7,2-level,frustration,30,595,5.042016806722689
305447,15,1505,150501,Control,BoSY,Grade 7,2-level,frustration,70,764,9.162303664921465
301438,4,417,41704,Control,BoSY,Grade 7,2-level,frustration,40,538,7.434944237918216
308135,4,417,41708,Control,BoSY,Grade 7,2-level,frustration,18,488,3.6885245901639343
301418,4,401,40101,Control,BoSY,Grade 7,2-level,frustration,618,3463,17.84579844065839
305288,15,1507,150710,Control,BoSY,Grade 7,2-level,frustration,72,704,10.227272727272727
301265,4,413,41301,Control,BoSY,Grade 7,2-level,frustration,46,412,11.16504854368932
305442,15,1516,151601,Control,BoSY,Grade 7,2-level,frustration,48,270,17.77777777777778
500339,15,1505,150501,Control,BoSY,Grade 7,2-level,frustration,49,369,13.279132791327914
305435,15,1503,150301,Control,BoSY,Grade 7,2-level,frustration,31,474,6.540084388185654
308134,4,417,41708,Control,BoSY,Grade 7,2-level,frustration,8,643,1.244167962674961
305452,15,1505,150501,Control,BoSY,Grade 7,2-level,frustration,25,693,3.6075036075036073
312330,7,703,70308,Treatment,BoSY,Grade 7,2-level,frustration,0,88,0
305710,7,703,70302,Treatment,BoSY,Grade 7,2-level,frustration,24,86,27.906976744186046
305655,11,1101,110101,Treatment,BoSY,Grade 7,2-level,frustration,0,27,0
305581,7,703,70303,Treatment,BoSY,Grade 7,2-level,frustration,7,46,15.217391304347826
303130,7,703,70309,Treatment,BoSY,Grade 7,2-level,frustration,7,196,3.5714285714285716
312354,7,703,70309,Treatment,BoSY,Grade 7,2-level,frustration,2,28,7.142857142857143
305849,11,1105,110503,Treatment,BoSY,Grade 7,2-level,frustration,4,37,10.81081081081081
305500,11,1101,110101,Treatment,BoSY,Grade 7,2-level,frustration,0,36,0
312355,7,703,70304,Treatment,BoSY,Grade 7,2-level,frustration,0,38,0
501903,11,1110,111001,Treatment,BoSY,Grade 7,2-level,frustration,0,30,0
500665,7,705,70527,Control,BoSY,Grade 7,2-level,frustration,4,107,3.7383177570093458
312462,7,705,70520,Control,BoSY,Grade 7,2-level,frustration,3,16,18.75
