school_id,time_point,grade,level_group,english_assessed,summed_category_count,discrepancy_count,has_discrepancy
301265,EoSY,Grade 8,eosy,433,433,0,FALSE
301265,EoSY,Grade 9,eosy,328,328,0,FALSE
301403,BoSY,Grade 10,2-level,447,248,-199,TRUE
301403,BoSY,Grade 10,3-level,447,193,-254,TRUE
301403,BoSY,Grade 7,2-level,584,201,-383,TRUE
301403,BoSY,Grade 7,3-level,584,378,-206,TRUE
301403,BoSY,Grade 8,2-level,518,126,-392,TRUE
301403,BoSY,Grade 8,3-level,518,385,-133,TRUE
301403,BoSY,Grade 9,2-level,358,129,-229,TRUE
301403,BoSY,Grade 9,3-level,358,226,-132,TRUE
301403,EoSY,Grade 10,eosy,427,427,0,FALSE
301403,EoSY,Grade 7,eosy,545,545,0,FALSE
301403,EoSY,Grade 8,eosy,491,491,0,FALSE
301403,EoSY,Grade 9,eosy,334,334,0,FALSE
301416,BoSY,Grade 10,2-level,129,42,-87,TRUE
301416,BoSY,Grade 10,3-level,129,46,-83,TRUE
301416,BoSY,Grade 7,2-level,207,86,-121,TRUE
301416,BoSY,Grade 7,3-level,207,91,-116,TRUE
301416,BoSY,Grade 8,2-level,158,54,-104,TRUE
301416,BoSY,Grade 8,3-level,158,65,-93,TRUE
301416,BoSY,Grade 9,2-level,135,37,-98,TRUE
301416,BoSY,Grade 9,3-level,135,67,-68,TRUE
301416,EoSY,Grade 10,eosy,133,133,0,FALSE
301416,EoSY,Grade 7,eosy,160,160,0,FALSE
301416,EoSY,Grade 8,eosy,169,169,0,FALSE
301416,EoSY,Grade 9,eosy,147,147,0,FALSE
301418,BoSY,Grade 10,2-level,2681,1204,-1477,TRUE
301418,BoSY,Grade 10,3-level,2681,1429,-1252,TRUE
301418,BoSY,Grade 7,2-level,3463,943,-2520,TRUE
301418,BoSY,Grade 7,3-level,3463,2511,-952,TRUE
301418,BoSY,Grade 8,2-level,3073,865,-2208,TRUE
301418,BoSY,Grade 8,3-level,3073,2205,-868,TRUE
301418,BoSY,Grade 9,2-level,2592,1525,-1067,TRUE
301418,BoSY,Grade 9,3-level,2592,1023,-1569,TRUE
301418,EoSY,Grade 10,eosy,2581,2581,0,FALSE
301418,EoSY,Grade 7,eosy,3331,3331,0,FALSE
301418,EoSY,Grade 8,eosy,2968,2968,0,FALSE
301418,EoSY,Grade 9,eosy,2419,2419,0,FALSE
301425,BoSY,Grade 10,2-level,813,405,-408,TRUE
301425,BoSY,Grade 10,3-level,813,400,-413,TRUE
301425,BoSY,Grade 7,2-level,1052,520,-532,TRUE
301425,BoSY,Grade 7,3-level,1052,522,-530,TRUE
301425,BoSY,Grade 8,2-level,1034,471,-563,TRUE
301425,BoSY,Grade 8,3-level,1034,552,-482,TRUE
301425,BoSY,Grade 9,2-level,804,594,-210,TRUE
301425,BoSY,Grade 9,3-level,804,170,-634,TRUE
301425,EoSY,Grade 10,eosy,821,821,0,FALSE
301425,EoSY,Grade 7,eosy,1000,1000,0,FALSE
301425,EoSY,Grade 8,eosy,1016,1016,0,FALSE
301425,EoSY,Grade 9,eosy,725,725,0,FALSE
301432,BoSY,Grade 10,2-level,489,210,-279,TRUE
301432,BoSY,Grade 10,3-level,489,276,-213,TRUE
301432,BoSY,Grade 7,2-level,662,299,-363,TRUE
301432,BoSY,Grade 7,3-level,662,343,-319,TRUE
301432,BoSY,Grade 8,2-level,629,206,-423,TRUE
301432,BoSY,Grade 8,3-level,629,416,-213,TRUE
301432,BoSY,Grade 9,2-level,482,230,-252,TRUE
301432,BoSY,Grade 9,3-level,482,231,-251,TRUE
301432,EoSY,Grade 10,eosy,457,457,0,FALSE
301432,EoSY,Grade 7,eosy,600,600,0,FALSE
301432,EoSY,Grade 8,eosy,597,597,0,FALSE
301432,EoSY,Grade 9,eosy,435,435,0,FALSE
