region,division,municipality,school_id,school_name,total_enrolled,total_assessed,emerging_not_proficient,emerging_low_proficient,developing_nearly_proficient,transitioning_proficient,at_grade_level_highly_proficient,total_emerging_not_proficient,total_emerging_low_proficient,total_developing_nearly_proficient,total_transitioning_proficient,total_at_grade_level_highly_proficient,g7_assessed,g7_emerging_not_proficient,g7_emerging_low_proficient,g7_developing_nearly_proficient,g7_transitioning_proficient,g7_at_grade_level_highly_proficient,g8_assessed,g8_emerging_not_proficient,g8_emerging_low_proficient,g8_developing_nearly_proficient,g8_transitioning_proficient,g8_at_grade_level_highly_proficient,g9_assessed,g9_emerging_not_proficient,g9_emerging_low_proficient,g9_developing_nearly_proficient,g9_transitioning_proficient,g9_at_grade_level_highly_proficient,g10_assessed,g10_emerging_not_proficient,g10_emerging_low_proficient,g10_developing_nearly_proficient,g10_transitioning_proficient,g10_at_grade_level_highly_proficient
Region V,Sorsogon,Bulusan,302188,Buhang National High School,406,402,0.5820895522388061,0.3955223880597015,0.022388059701492536,0,0,234,159,9,0,0,123,68,48,7,0,0,94,58,36,0,0,0,79,54,24,1,0,0,106,54,51,1,0,0
Region V,Sorsogon,Bulusan,302192,Bulusan National High School,1028,942,0.4299363057324842,0.4108280254777071,0.10297239915074308,0.052016985138004256,0.00424628450106157,405,387,97,49,4,283,93,86,56,44,4,289,127,119,40,3,0,208,88,117,1,2,0,162,97,65,0,0,0
Region V,Sorsogon,Bulusan,302242,San Roque National High School,298,283,0.0989399293286219,0.46289752650176674,0.28621908127208484,0.08480565371024737,0.06713780918727916,28,131,81,24,19,64,0,18,36,10,0,94,5,67,22,0,0,60,7,24,10,5,14,65,16,22,13,9,5
Region V,Sorsogon,Casiguran,302197,Casiguran Technical Vocational School,2004,1954,0.4124872057318322,0.4815762538382805,0.08700102354145345,0.01074718526100307,0.00818833162743091,806,941,170,21,16,557,185,280,88,4,0,602,87,447,65,3,0,372,299,26,17,14,16,423,235,188,0,0,0
Region V,Sorsogon,Casiguran,302244,Del Carmen Memorial High School,265,254,0.6456692913385828,0.2519685039370079,0.10236220472440948,0,0,164,64,26,0,0,66,46,11,9,0,0,66,46,14,6,0,0,61,43,12,6,0,0,61,29,27,5,0,0
Region V,Sorsogon,Casiguran,302240,San Juan National High School,596,592,0.36486486486486497,0.4662162162162163,0.14527027027027026,0.023648648648648646,0,216,276,86,14,0,169,25,62,73,9,0,178,27,137,12,2,0,111,75,35,0,1,0,134,89,42,1,2,0
Region V,Sorsogon,Castilla,310005,Bagong Sirang High School,126,114,0.9210526315789473,0.07894736842105263,0,0,0,105,9,0,0,0,34,27,7,0,0,0,31,30,1,0,0,0,20,20,0,0,0,0,29,28,1,0,0,0
Region V,Sorsogon,Castilla,302199,"Buenavista National High School, Castilla",204,182,0.8571428571428572,0.13186813186813193,0.010989010989010992,0,0,156,24,2,0,0,59,49,10,0,0,0,46,42,4,0,0,0,40,28,10,2,0,0,37,37,0,0,0,0
Region V,Sorsogon,Castilla,302198,Castilla National High School,436,424,0.4787735849056604,0.33490566037735847,0.18632075471698112,0,0,203,142,79,0,0,116,0,42,74,0,0,111,101,10,0,0,0,91,86,5,0,0,0,106,16,85,5,0,0
Region V,Sorsogon,Castilla,302201,Cumadcad National High School,1373,1370,0.5087591240875914,0.32919708029197076,0.15620437956204386,0.00583941605839416,0,697,451,214,8,0,408,132,158,112,6,0,365,76,188,99,2,0,315,235,77,3,0,0,282,254,28,0,0,0
Region V,Sorsogon,Castilla,302202,Dinapa National High School,607,570,0.4877192982456141,0.5087719298245614,0.003508771929824561,0,0,278,290,2,0,0,190,117,72,1,0,0,157,154,3,0,0,0,105,4,101,0,0,0,118,3,114,1,0,0
Region V,Sorsogon,Castilla,302219,Macalaya NHS,362,348,0.8304597701149425,0.16379310344827588,0.00574712643678161,0,0,289,57,2,0,0,122,89,31,2,0,0,85,72,13,0,0,0,79,73,6,0,0,0,62,55,7,0,0,0
Region V,Sorsogon,Castilla,302226,Mayon National High School,407,392,0.520408163265306,0.4566326530612244,0.022959183673469385,0,0,204,179,9,0,0,135,32,95,8,0,0,115,51,63,1,0,0,52,36,16,0,0,0,90,85,5,0,0,0
Region V,Sorsogon,Castilla,302227,Milagrosa National High School,304,253,0.9407114624505931,0.05928853754940711,0,0,0,238,15,0,0,0,75,70,5,0,0,0,75,73,2,0,0,0,46,46,0,0,0,0,57,49,8,0,0,0
Region V,Sorsogon,Castilla,302228,Oras National High School,375,375,0.7866666666666664,0.2106666666666667,0.002666666666666667,0,0,295,79,1,0,0,103,63,40,0,0,0,106,85,21,0,0,0,84,72,11,1,0,0,82,75,7,0,0,0
Region V,Sorsogon,Castilla,310004,Pandan National High School,283,272,0.8860294117647058,0.11397058823529412,0,0,0,241,31,0,0,0,83,74,9,0,0,0,49,44,5,0,0,0,71,61,10,0,0,0,69,62,7,0,0,0
Region V,Sorsogon,Castilla,502288,Quirapi Integrated School,125,124,0.5403225806451613,0.4596774193548388,0,0,0,67,57,0,0,0,39,12,27,0,0,0,40,28,12,0,0,0,19,16,3,0,0,0,26,11,15,0,0,0
Region V,Sorsogon,Castilla,302241,"San Rafael National High School, Castilla",487,432,0.030092592592592587,0.6203703703703703,0.27083333333333326,0.046296296296296294,0.032407407407407406,13,268,117,20,14,152,8,89,55,0,0,113,1,72,18,8,14,85,4,36,33,12,0,82,0,71,11,0,0
Region V,Sorsogon,Donsol,302205,Banuang Gurang National High School,426,426,0.8661971830985917,0.049295774647887314,0.0727699530516432,0.011737089201877932,0,369,21,31,5,0,136,101,13,20,2,0,102,92,1,7,2,0,101,101,0,0,0,0,87,75,7,4,1,0
Region V,Sorsogon,Donsol,302194,Cabugao National High School,237,212,0.4716981132075473,0.37735849056603776,0.13207547169811318,0.018867924528301893,0,100,80,28,4,0,69,8,59,2,0,0,66,22,14,26,4,0,52,48,4,0,0,0,25,22,3,0,0,0
Region V,Sorsogon,Donsol,302204,Donsol National Comprehensive High School,2180,2180,0.8637614678899084,0.13256880733944953,0.0032110091743119272,4.5871559633027525e-4,0,1883,289,7,1,0,632,545,85,1,1,0,626,526,98,2,0,0,461,408,53,0,0,0,461,404,53,4,0,0
Region V,Sorsogon,Donsol,302207,Donsol Vocational High School,355,323,0,0.1021671826625387,0.37770897832817335,0.41486068111455127,0.10526315789473685,0,33,122,134,34,94,0,0,14,73,7,88,0,1,50,29,8,72,0,18,27,11,16,69,0,14,31,21,3
Region V,Sorsogon,Donsol,302209,Donsol Vocational High School - GOGON ANNEX,308,308,0.6883116883116882,0.25,0.058441558441558454,0.0032467532467532474,0,212,77,18,1,0,88,30,39,18,1,0,80,56,24,0,0,0,73,61,12,0,0,0,67,65,2,0,0,0
Region V,Sorsogon,Donsol,302208,Donsol Vocational High School - Gimagaan,526,526,0.6634980988593154,0.33269961977186313,0.003802281368821293,0,0,349,175,2,0,0,131,98,31,2,0,0,174,43,131,0,0,0,125,122,3,0,0,0,96,86,10,0,0,0
Region V,Sorsogon,Donsol,302206,Sta. Cruz National High School,385,385,0.8883116883116883,0.11168831168831167,0,0,0,342,43,0,0,0,127,97,30,0,0,0,92,88,4,0,0,0,91,91,0,0,0,0,75,66,9,0,0,0
Region V,Sorsogon,Donsol,502737,Tongdol Integrated School,44,44,1,0,0,0,0,44,0,0,0,0,19,19,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region V,Sorsogon,Donsol,502996,Vinisitahan Integrated School,30,30,0,0.3333333333333332,0.6666666666666664,0,0,0,10,20,0,0,30,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region V,Sorsogon,Gubat,302182,Bagacay National High School,337,337,0.33827893175074186,0.5875370919881304,0.0741839762611276,0,0,114,198,25,0,0,86,29,47,10,0,0,78,33,41,4,0,0,83,26,51,6,0,0,90,26,59,5,0,0
Region V,Sorsogon,Gubat,302185,Bentuco National High School,248,248,0.0403225806451613,0.5161290322580647,0.4354838709677421,0.00806451612903226,0,10,128,108,2,0,71,0,5,65,1,0,67,0,42,24,1,0,43,3,34,6,0,0,67,7,47,13,0,0
Region V,Sorsogon,Gubat,302189,Bulacao National High School,249,249,0.26907630522088366,0.5220883534136547,0.20481927710843376,0.00401606425702811,0,67,130,51,1,0,69,10,40,19,0,0,65,9,28,27,1,0,51,22,28,1,0,0,64,26,34,4,0,0
Region V,Sorsogon,Gubat,302214,Gubat National High School,2348,2316,0.6545768566493957,0.29145077720207263,0.04965457685664939,0.004317789291882556,0,1516,675,115,10,0,666,318,283,60,5,0,727,442,227,53,5,0,436,334,100,2,0,0,487,422,65,0,0,0
Region V,Sorsogon,Gubat,302235,Jupi National High School,206,192,0.53125,0.390625,0.0625,0.015624999999999998,0,102,75,12,3,0,59,16,29,11,3,0,52,33,18,1,0,0,39,26,13,0,0,0,42,27,15,0,0,0
Region V,Sorsogon,Gubat,302234,Rizal National High School - Gubat,274,274,0.5328467153284673,0.3795620437956204,0.07299270072992702,0.014598540145985403,0,146,104,20,4,0,79,15,40,20,4,0,73,46,27,0,0,0,65,39,26,0,0,0,57,46,11,0,0,0
Region V,Sorsogon,Irosin,502085,Batang Integrated School,234,234,0.6538461538461539,0.23504273504273507,0.1111111111111111,0,0,153,55,26,0,0,62,37,19,6,0,0,59,43,12,4,0,0,55,34,13,8,0,0,58,39,11,8,0,0
Region V,Sorsogon,Irosin,302211,Gabao National High School,748,722,0.8905817174515236,0.10803324099722995,0.001385041551246537,0,0,643,78,1,0,0,196,141,54,1,0,0,214,214,0,0,0,0,139,138,1,0,0,0,173,150,23,0,0,0
Region V,Sorsogon,Irosin,302212,Gallanosa National High School,3022,3011,0.5068083693125206,0.41813351046164066,0.05712387910993027,0.015941547658585187,0.0019926934573231483,1526,1259,172,48,6,862,510,251,84,17,0,781,256,444,72,8,1,688,434,253,0,0,1,680,326,311,16,23,4
Region V,Sorsogon,Irosin,302215,Irosin North National High School,332,332,0.8644578313253013,0.13554216867469882,0,0,0,287,45,0,0,0,108,104,4,0,0,0,94,71,23,0,0,0,67,59,8,0,0,0,63,53,10,0,0,0
