time_point,school_id,grade,level_group,english_assessed,summed_category_count,discrepancy_count,has_discrepancy,is_in_dlp_randomization_file
BoSY,300040,Grade 9,3-level,23,12,-11,TRUE,TRUE
BoSY,300041,Grade 10,2-level,145,145,0,FALSE,TRUE
BoSY,300041,Grade 10,3-level,145,10,-135,TRUE,TRUE
BoSY,300041,Grade 7,2-level,170,119,-51,TRUE,TRUE
BoSY,300041,Grade 7,3-level,170,51,-119,TRUE,TRUE
BoSY,300041,Grade 8,2-level,149,79,-70,TRUE,TRUE
BoSY,300041,Grade 8,3-level,149,78,-71,TRUE,TRUE
BoSY,300041,Grade 9,2-level,130,85,-45,TRUE,TRUE
BoSY,300041,Grade 9,3-level,130,46,-84,TRUE,TRUE
BoSY,300042,Grade 10,2-level,52,40,-12,TRUE,TRUE
BoSY,300042,Grade 10,3-level,52,17,-35,TRUE,TRUE
BoSY,300042,Grade 7,2-level,44,22,-22,TRUE,TRUE
BoSY,300042,Grade 7,3-level,44,23,-21,TRUE,TRUE
BoSY,300042,Grade 8,2-level,60,30,-30,TRUE,TRUE
BoSY,300042,Grade 8,3-level,60,31,-29,TRUE,TRUE
BoSY,300042,Grade 9,2-level,52,34,-18,TRUE,TRUE
BoSY,300042,Grade 9,3-level,52,21,-31,TRUE,TRUE
BoSY,300043,Grade 10,2-level,193,77,-116,TRUE,TRUE
BoSY,300043,Grade 10,3-level,193,117,-76,TRUE,TRUE
BoSY,300043,Grade 7,2-level,199,112,-87,TRUE,TRUE
BoSY,300043,Grade 7,3-level,199,87,-112,TRUE,TRUE
BoSY,300043,Grade 8,2-level,180,20,-160,TRUE,TRUE
BoSY,300043,Grade 8,3-level,180,160,-20,TRUE,TRUE
BoSY,300043,Grade 9,2-level,147,61,-86,TRUE,TRUE
BoSY,300043,Grade 9,3-level,147,86,-61,TRUE,TRUE
BoSY,300044,Grade 10,2-level,590,327,-263,TRUE,FALSE
BoSY,300044,Grade 10,3-level,590,306,-284,TRUE,FALSE
BoSY,300044,Grade 7,2-level,650,352,-298,TRUE,FALSE
BoSY,300044,Grade 7,3-level,650,318,-332,TRUE,FALSE
BoSY,300044,Grade 8,2-level,595,255,-340,TRUE,FALSE
BoSY,300044,Grade 8,3-level,595,349,-246,TRUE,FALSE
BoSY,300044,Grade 9,2-level,465,305,-160,TRUE,FALSE
BoSY,300044,Grade 9,3-level,465,215,-250,TRUE,FALSE
BoSY,300045,Grade 10,2-level,27,15,-12,TRUE,TRUE
BoSY,300045,Grade 10,3-level,27,12,-15,TRUE,TRUE
BoSY,300045,Grade 7,2-level,28,12,-16,TRUE,TRUE
BoSY,300045,Grade 7,3-level,28,16,-12,TRUE,TRUE
BoSY,300045,Grade 8,2-level,37,11,-26,TRUE,TRUE
BoSY,300045,Grade 8,3-level,37,26,-11,TRUE,TRUE
BoSY,300045,Grade 9,2-level,25,16,-9,TRUE,TRUE
BoSY,300045,Grade 9,3-level,25,9,-16,TRUE,TRUE
BoSY,300046,Grade 10,2-level,155,117,-38,TRUE,TRUE
BoSY,300046,Grade 10,3-level,155,65,-90,TRUE,TRUE
BoSY,300046,Grade 7,2-level,199,52,-147,TRUE,TRUE
BoSY,300046,Grade 7,3-level,199,162,-37,TRUE,TRUE
BoSY,300046,Grade 8,2-level,206,95,-111,TRUE,TRUE
BoSY,300046,Grade 8,3-level,206,140,-66,TRUE,TRUE
BoSY,300046,Grade 9,2-level,146,79,-67,TRUE,TRUE
BoSY,300046,Grade 9,3-level,146,86,-60,TRUE,TRUE
BoSY,300047,Grade 10,2-level,61,16,-45,TRUE,FALSE
BoSY,300047,Grade 10,3-level,61,45,-16,TRUE,FALSE
BoSY,300047,Grade 7,2-level,52,11,-41,TRUE,FALSE
BoSY,300047,Grade 7,3-level,52,42,-10,TRUE,FALSE
BoSY,300047,Grade 8,2-level,57,16,-41,TRUE,FALSE
BoSY,300047,Grade 8,3-level,57,41,-16,TRUE,FALSE
BoSY,300047,Grade 9,2-level,46,16,-30,TRUE,FALSE
BoSY,300047,Grade 9,3-level,46,30,-16,TRUE,FALSE
BoSY,300048,Grade 10,2-level,35,33,-2,TRUE,TRUE
BoSY,300048,Grade 10,3-level,35,19,-16,TRUE,TRUE
BoSY,300048,Grade 7,2-level,47,38,-9,TRUE,TRUE
BoSY,300048,Grade 7,3-level,47,41,-6,TRUE,TRUE
BoSY,300048,Grade 8,2-level,41,35,-6,TRUE,TRUE
BoSY,300048,Grade 8,3-level,41,27,-14,TRUE,TRUE
BoSY,300048,Grade 9,2-level,29,28,-1,TRUE,TRUE
BoSY,300048,Grade 9,3-level,29,11,-18,TRUE,TRUE
BoSY,300049,Grade 10,2-level,116,56,-60,TRUE,TRUE
