school_id,region_code,full_division_code,full_municipality_code,treatment_status,time_point,grade,proficiency_group,student_count,assessed_count,percent_of_assessed
303130,7,703,70309,Treatment,BoSY,Grade 7,not proficient,154,193,79.79274611398964
312354,7,703,70309,Treatment,BoSY,Grade 7,not proficient,27,28,96.42857142857143
305849,11,1105,110503,Treatment,BoSY,Grade 7,not proficient,37,38,97.36842105263158
305500,11,1101,110101,Treatment,BoSY,Grade 7,not proficient,32,36,88.88888888888889
312355,7,703,70304,Treatment,BoSY,Grade 7,not proficient,34,39,87.17948717948718
501903,11,1110,111001,Treatment,BoSY,Grade 7,not proficient,25,30,83.33333333333333
500665,7,705,70527,Control,BoSY,Grade 7,not proficient,107,107,100
312462,7,705,70520,Control,BoSY,Grade 7,not proficient,14,18,77.77777777777777
306038,11,1102,110202,Control,BoSY,Grade 7,not proficient,14,33,42.42424242424242
500221,7,705,70527,Control,BoSY,Grade 7,not proficient,31,32,96.875
500744,7,708,70801,Control,BoSY,Grade 7,not proficient,54,55,98.18181818181819
305884,11,1101,110101,Control,BoSY,Grade 7,not proficient,0,125,0
303170,7,709,70901,Control,BoSY,Grade 7,not proficient,41,52,78.84615384615384
500787,7,708,70801,Control,BoSY,Grade 7,not proficient,47,49,95.91836734693878
500667,7,705,70528,Control,BoSY,Grade 7,not proficient,61,72,84.72222222222223
501071,11,1101,110101,Control,BoSY,Grade 7,not proficient,11,25,44
303046,7,705,70527,Control,BoSY,Grade 7,not proficient,81,81,100
325303,7,707,70701,Control,BoSY,Grade 7,not proficient,9,86,10.465116279069768
500208,7,703,70305,Control,BoSY,Grade 7,not proficient,6,19,31.57894736842105
312401,7,705,70525,Control,BoSY,Grade 7,not proficient,118,127,92.91338582677166
303136,7,706,70601,Control,BoSY,Grade 7,not proficient,106,109,97.24770642201835
312435,7,707,70701,Control,BoSY,Grade 7,not proficient,24,54,44.44444444444444
502186,11,1101,110101,Control,BoSY,Grade 7,not proficient,20,20,100
500782,7,708,70801,Control,BoSY,Grade 7,not proficient,263,295,89.15254237288136
306086,11,1106,110606,Control,BoSY,Grade 7,not proficient,20,23,86.95652173913044
305755,7,705,70529,Control,BoSY,Grade 7,not proficient,120,138,86.95652173913044
305665,11,1101,110101,Control,BoSY,Grade 7,not proficient,5,24,20.833333333333332
501635,7,703,70301,Control,BoSY,Grade 7,not proficient,64,79,81.0126582278481
305843,11,1110,111001,Control,BoSY,Grade 7,not proficient,59,64,92.1875
500894,7,705,70517,Control,BoSY,Grade 7,not proficient,93,101,92.07920792079207
500671,7,705,70506,Control,BoSY,Grade 7,not proficient,21,28,75
305847,11,1105,110503,Control,BoSY,Grade 7,not proficient,42,49,85.71428571428571
500784,7,708,70801,Control,BoSY,Grade 7,not proficient,22,24,91.66666666666667
501267,7,705,70525,Control,BoSY,Grade 7,not proficient,38,42,90.47619047619048
306000,7,705,70525,Control,BoSY,Grade 7,not proficient,56,63,88.88888888888889
305517,11,1106,110608,Control,BoSY,Grade 7,not proficient,30,53,56.60377358490566
305713,7,710,71001,Control,BoSY,Grade 7,not proficient,2,82,2.4390243902439024
500768,7,705,70521,Control,BoSY,Grade 7,not proficient,70,82,85.36585365853658
316303,11,1107,110701,Control,BoSY,Grade 7,not proficient,65,78,83.33333333333333
316304,11,1107,110701,Control,BoSY,Grade 7,not proficient,94,94,100
305506,11,1101,110101,Control,BoSY,Grade 7,not proficient,2,25,8
500421,7,705,70507,Control,BoSY,Grade 7,not proficient,66,118,55.932203389830505
305681,11,1110,111001,Control,BoSY,Grade 7,not proficient,208,228,91.2280701754386
303186,7,711,71101,Control,BoSY,Grade 7,not proficient,127,145,87.58620689655173
501429,7,714,71402,Control,BoSY,Grade 7,not proficient,59,59,100
305844,11,1103,110303,Control,BoSY,Grade 7,not proficient,49,57,85.96491228070175
305965,11,1110,111001,Control,BoSY,Grade 7,not proficient,91,92,98.91304347826087
501076,11,1103,110305,Control,BoSY,Grade 7,not proficient,18,18,100
305889,11,1101,110101,Control,BoSY,Grade 7,not proficient,12,61,19.672131147540984
501074,11,1103,110306,Control,BoSY,Grade 7,not proficient,44,47,93.61702127659575
312408,7,705,70530,Control,BoSY,Grade 7,not proficient,47,77,61.03896103896104
501351,7,705,70522,Control,BoSY,Grade 7,not proficient,4,78,5.128205128205129
501404,11,1101,110101,Control,BoSY,Grade 7,not proficient,16,18,88.88888888888889
305660,11,1101,110101,Control,BoSY,Grade 7,not proficient,14,45,31.11111111111111
303219,7,701,70101,Control,BoSY,Grade 7,not proficient,140,140,100
312450,7,705,70522,Control,BoSY,Grade 7,not proficient,8,65,12.307692307692308
324903,7,704,70401,Control,BoSY,Grade 7,not proficient,33,44,75
501065,11,1101,110101,Control,BoSY,Grade 7,not proficient,139,144,96.52777777777777
312451,7,705,70532,Control,BoSY,Grade 7,not proficient,48,93,51.61290322580645
501763,11,1103,110305,Control,BoSY,Grade 7,not proficient,41,42,97.61904761904762
316405,11,1110,111001,Control,BoSY,Grade 7,not proficient,152,152,100
316404,11,1110,111001,Control,BoSY,Grade 7,not proficient,58,62,93.54838709677419
316301,11,1107,110701,Control,BoSY,Grade 7,not proficient,207,208,99.51923076923077
312910,7,710,71001,Control,BoSY,Grade 7,not proficient,190,196,96.93877551020408
303011,7,705,70512,Control,BoSY,Grade 7,not proficient,53,59,89.83050847457628
305651,11,1101,110101,Control,BoSY,Grade 7,not proficient,0,34,0
305662,11,1101,110101,Control,BoSY,Grade 7,not proficient,50,53,94.33962264150944
305850,11,1105,110503,Control,BoSY,Grade 7,not proficient,28,31,90.3225806451613
312481,7,705,70518,Control,BoSY,Grade 7,not proficient,187,201,93.03482587064677
304409,11,1110,111001,Control,BoSY,Grade 7,not proficient,118,121,97.52066115702479
303246,7,713,71303,Control,BoSY,Grade 7,not proficient,171,192,89.0625
501405,11,1101,110101,Control,BoSY,Grade 7,not proficient,58,58,100
305677,11,1105,110503,Control,BoSY,Grade 7,not proficient,61,63,96.82539682539682
500447,7,708,70801,Control,BoSY,Grade 7,not proficient,69,74,93.24324324324324
501305,7,708,70801,Control,BoSY,Grade 7,not proficient,23,31,74.19354838709677
305917,7,708,70801,Control,BoSY,Grade 7,not proficient,16,24,66.66666666666667
305722,7,703,70304,Control,BoSY,Grade 7,not proficient,48,60,80
312953,7,713,71306,Control,BoSY,Grade 7,not proficient,30,50,60
305498,11,1101,110101,Control,BoSY,Grade 7,not proficient,67,78,85.8974358974359
305669,11,1101,110101,Control,BoSY,Grade 7,not proficient,0,38,0
312960,7,710,71002,Control,BoSY,Grade 7,not proficient,71,71,100
309906,5,508,50811,Treatment,BoSY,Grade 7,low proficient,4,128,3.125
309934,5,508,50806,Treatment,BoSY,Grade 7,low proficient,18,43,41.86046511627907
301871,5,501,50107,Treatment,BoSY,Grade 7,low proficient,41,73,56.16438356164384
302134,5,508,50804,Treatment,BoSY,Grade 7,low proficient,6,168,3.5714285714285716
302117,5,508,50803,Treatment,BoSY,Grade 7,low proficient,9,93,9.67741935483871
309909,5,508,50801,Treatment,BoSY,Grade 7,low proficient,3,126,2.380952380952381
