time_point,school_id,grade,assessed_count,summed_proficiency_count,discrepancy_count,has_discrepancy,is_in_dlp_randomization_file
BoSY,300080,Grade 9,389,389,0,FALSE,TRUE
BoSY,300081,Grade 10,58,58,0,FALSE,TRUE
BoSY,300081,Grade 7,73,73,0,FALSE,TRUE
BoSY,300081,Grade 8,40,40,0,FALSE,TRUE
BoSY,300081,Grade 9,44,44,0,FALSE,TRUE
BoSY,300083,Grade 10,117,117,0,FALSE,FALSE
BoSY,300083,Grade 7,124,124,0,FALSE,FALSE
BoSY,300083,Grade 8,102,102,0,FALSE,FALSE
BoSY,300083,Grade 9,106,106,0,FALSE,FALSE
BoSY,300085,Grade 10,104,104,0,FALSE,TRUE
BoSY,300085,Grade 7,131,131,0,FALSE,TRUE
BoSY,300085,Grade 8,108,108,0,FALSE,TRUE
BoSY,300085,Grade 9,72,72,0,FALSE,TRUE
BoSY,300086,Grade 10,372,372,0,FALSE,TRUE
BoSY,300086,Grade 7,542,542,0,FALSE,TRUE
BoSY,300086,Grade 8,502,502,0,FALSE,TRUE
BoSY,300086,Grade 9,333,333,0,FALSE,TRUE
BoSY,300087,Grade 10,83,83,0,FALSE,TRUE
BoSY,300087,Grade 7,93,93,0,FALSE,TRUE
BoSY,300087,Grade 8,116,116,0,FALSE,TRUE
BoSY,300087,Grade 9,77,77,0,FALSE,TRUE
BoSY,300088,Grade 10,106,106,0,FALSE,FALSE
BoSY,300088,Grade 7,169,169,0,FALSE,FALSE
BoSY,300088,Grade 8,136,136,0,FALSE,FALSE
BoSY,300088,Grade 9,94,94,0,FALSE,FALSE
BoSY,300089,Grade 10,59,59,0,FALSE,FALSE
BoSY,300089,Grade 7,67,67,0,FALSE,FALSE
BoSY,300089,Grade 8,70,70,0,FALSE,FALSE
BoSY,300089,Grade 9,46,46,0,FALSE,FALSE
BoSY,300090,Grade 10,49,49,0,FALSE,FALSE
BoSY,300090,Grade 7,77,77,0,FALSE,FALSE
BoSY,300090,Grade 8,56,56,0,FALSE,FALSE
BoSY,300090,Grade 9,53,53,0,FALSE,FALSE
BoSY,300091,Grade 10,87,87,0,FALSE,FALSE
BoSY,300091,Grade 7,103,103,0,FALSE,FALSE
BoSY,300091,Grade 8,106,106,0,FALSE,FALSE
BoSY,300091,Grade 9,74,74,0,FALSE,FALSE
BoSY,300092,Grade 10,76,76,0,FALSE,FALSE
BoSY,300092,Grade 7,89,89,0,FALSE,FALSE
BoSY,300092,Grade 8,74,74,0,FALSE,FALSE
BoSY,300092,Grade 9,49,49,0,FALSE,FALSE
BoSY,300093,Grade 10,406,406,0,FALSE,FALSE
BoSY,300093,Grade 7,532,532,0,FALSE,FALSE
BoSY,300093,Grade 8,519,519,0,FALSE,FALSE
BoSY,300093,Grade 9,374,374,0,FALSE,FALSE
BoSY,300094,Grade 10,115,115,0,FALSE,FALSE
BoSY,300094,Grade 7,158,158,0,FALSE,FALSE
BoSY,300094,Grade 8,160,160,0,FALSE,FALSE
BoSY,300094,Grade 9,103,103,0,FALSE,FALSE
BoSY,300095,Grade 10,484,484,0,FALSE,FALSE
BoSY,300095,Grade 7,443,443,0,FALSE,FALSE
BoSY,300095,Grade 8,478,478,0,FALSE,FALSE
BoSY,300095,Grade 9,384,384,0,FALSE,FALSE
BoSY,300096,Grade 10,68,68,0,FALSE,FALSE
BoSY,300096,Grade 7,75,75,0,FALSE,FALSE
BoSY,300096,Grade 8,71,71,0,FALSE,FALSE
BoSY,300096,Grade 9,57,57,0,FALSE,FALSE
BoSY,300097,Grade 10,33,33,0,FALSE,FALSE
BoSY,300097,Grade 7,45,45,0,FALSE,FALSE
BoSY,300097,Grade 8,35,35,0,FALSE,FALSE
BoSY,300097,Grade 9,27,27,0,FALSE,FALSE
BoSY,300098,Grade 10,18,18,0,FALSE,FALSE
BoSY,300098,Grade 7,36,36,0,FALSE,FALSE
BoSY,300098,Grade 8,24,24,0,FALSE,FALSE
