school_id,time_point,grade,assessed_count,summed_proficiency_count,discrepancy_count,has_discrepancy
302061,EoSY,Grade 8,58,58,0,FALSE
302061,EoSY,Grade 9,45,45,0,FALSE
302109,BoSY,Grade 10,240,240,0,FALSE
302109,BoSY,Grade 7,275,275,0,FALSE
302109,BoSY,Grade 8,256,256,0,FALSE
302109,BoSY,Grade 9,206,206,0,FALSE
302109,EoSY,Grade 10,237,237,0,FALSE
302109,EoSY,Grade 7,251,251,0,FALSE
302109,EoSY,Grade 8,243,243,0,FALSE
302109,EoSY,Grade 9,193,193,0,FALSE
302111,BoSY,Grade 10,467,467,0,FALSE
302111,BoSY,Grade 7,540,540,0,FALSE
302111,BoSY,Grade 8,465,465,0,FALSE
302111,BoSY,Grade 9,437,437,0,FALSE
302111,EoSY,Grade 10,444,444,0,FALSE
302111,EoSY,Grade 7,516,516,0,FALSE
302111,EoSY,Grade 8,441,441,0,FALSE
302111,EoSY,Grade 9,400,400,0,FALSE
302113,BoSY,Grade 10,88,88,0,FALSE
302113,BoSY,Grade 7,99,99,0,FALSE
302113,BoSY,Grade 8,108,108,0,FALSE
302113,BoSY,Grade 9,59,59,0,FALSE
302113,EoSY,Grade 10,83,83,0,FALSE
302113,EoSY,Grade 7,98,98,0,FALSE
302113,EoSY,Grade 8,110,110,0,FALSE
302113,EoSY,Grade 9,62,62,0,FALSE
302117,BoSY,Grade 10,72,72,0,FALSE
302117,BoSY,Grade 7,93,93,0,FALSE
302117,BoSY,Grade 8,67,67,0,FALSE
302117,BoSY,Grade 9,59,59,0,FALSE
302117,EoSY,Grade 10,64,64,0,FALSE
302117,EoSY,Grade 7,94,94,0,FALSE
302117,EoSY,Grade 8,69,69,0,FALSE
302117,EoSY,Grade 9,56,56,0,FALSE
302123,BoSY,Grade 10,54,54,0,FALSE
302123,BoSY,Grade 7,81,81,0,FALSE
302123,BoSY,Grade 8,84,84,0,FALSE
302123,BoSY,Grade 9,77,77,0,FALSE
302123,EoSY,Grade 10,53,53,0,FALSE
302123,EoSY,Grade 7,83,83,0,FALSE
302123,EoSY,Grade 8,81,81,0,FALSE
302123,EoSY,Grade 9,78,78,0,FALSE
302127,BoSY,Grade 10,34,34,0,FALSE
302127,BoSY,Grade 7,48,48,0,FALSE
302127,BoSY,Grade 8,53,53,0,FALSE
302127,BoSY,Grade 9,37,37,0,FALSE
302127,EoSY,Grade 10,33,33,0,FALSE
302127,EoSY,Grade 7,50,50,0,FALSE
302127,EoSY,Grade 8,52,52,0,FALSE
302127,EoSY,Grade 9,32,32,0,FALSE
302133,BoSY,Grade 10,127,127,0,FALSE
302133,BoSY,Grade 7,190,190,0,FALSE
302133,BoSY,Grade 8,194,194,0,FALSE
302133,BoSY,Grade 9,149,149,0,FALSE
302133,EoSY,Grade 10,111,111,0,FALSE
302133,EoSY,Grade 7,182,182,0,FALSE
302133,EoSY,Grade 8,188,188,0,FALSE
302133,EoSY,Grade 9,156,156,0,FALSE
302134,BoSY,Grade 10,123,123,0,FALSE
302134,BoSY,Grade 7,168,168,0,FALSE
302134,BoSY,Grade 8,127,127,0,FALSE
302134,BoSY,Grade 9,130,130,0,FALSE
302134,EoSY,Grade 10,120,120,0,FALSE
302134,EoSY,Grade 7,165,165,0,FALSE
302134,EoSY,Grade 8,130,130,0,FALSE
302134,EoSY,Grade 9,124,124,0,FALSE
302146,BoSY,Grade 10,104,104,0,FALSE
302146,BoSY,Grade 7,160,160,0,FALSE
302146,BoSY,Grade 8,121,121,0,FALSE
302146,BoSY,Grade 9,111,111,0,FALSE
302146,EoSY,Grade 10,109,109,0,FALSE
302146,EoSY,Grade 7,142,142,0,FALSE
302146,EoSY,Grade 8,127,127,0,FALSE
302146,EoSY,Grade 9,133,133,0,FALSE
302156,BoSY,Grade 10,98,98,0,FALSE
302156,BoSY,Grade 7,101,101,0,FALSE
302156,BoSY,Grade 8,101,101,0,FALSE
302156,BoSY,Grade 9,95,95,0,FALSE
302156,EoSY,Grade 10,97,97,0,FALSE
302156,EoSY,Grade 7,104,104,0,FALSE
302156,EoSY,Grade 8,106,106,0,FALSE
302156,EoSY,Grade 9,88,88,0,FALSE
302161,BoSY,Grade 10,80,80,0,FALSE
